Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,8,602.0,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,958,585,397.8087581473094,-91.4043790736547,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,9,491.89999999990687,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,996,375,397.8087581473094,-91.15942912900022,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,10,532.1000000000931,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,914,573,397.8087581473094,-92.95090228729951,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,11,592.2999999998137,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1033,395,397.8087581473095,-89.25215362037102,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,12,541.6000000000931,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,873,542,397.8087581473093,-91.0918551469749,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,13,481.0,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1056,434,397.8087581473093,-94.01594031034858,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,14,533.5,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,855,497,397.8087581473094,-93.017613472352,0
P0,S2,C1,Dominant,Mouse,God,400,50,15,0,15,570.8000000000466,764.3704798532389,519.0823381635519,1160.0,477.5,1066,476,397.8087581473093,-93.32826546971624,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,1,593.0,1160.0,477.5,764.3704798532389,435.9176618364481,856,457,397.8087581473093,-93.33126845836736,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,2,581.9000000001397,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1050,515,397.8087581473095,-101.72115531803044,1
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,3,741.8999999999069,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,868,412,397.8087581473094,-86.48004192548632,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,4,753.3000000000466,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1039,560,397.8087581473093,-84.99266283633469,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,5,653.0,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,911,410,397.8087581473094,-115.49425459101457,1
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,6,682.0,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,995,573,397.8087581473094,-97.42500536113327,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,7,752.0,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,950,366,397.8087581473094,-87.76180468365777,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,8,892.3000000000466,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,959,594,397.8087581473094,-82.40437907365467,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,9,1872.5999999998603,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,991,369,397.8087581473094,-86.33010197868623,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,10,1122.0,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,911,559,397.8087581473094,-104.52032876506854,1
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,11,762.8000000000466,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1041,398,397.8087581473095,-86.97692258515609,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,12,812.4000000001397,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,870,528,397.8087581473093,-98.23024915956675,1
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,13,861.3999999999069,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1053,425,397.8087581473093,-92.1140165217019,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,14,603.1000000000931,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,845,498,397.8087581473094,-83.19803131502557,0
P0,S2,C2,Dominant,Mouse,God,400,50,15,0,15,582.1999999999534,764.3704798532389,519.0823381635519,1160.0,477.5,1070,476,397.8087581473093,-89.35017788824311,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,1,472.0,1160.0,477.5,764.3704798532389,435.9176618364481,852,448,397.8087581473093,-88.4124247074854,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,2,421.9000000001397,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1062,529,397.8087581473095,-85.98223920123928,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,3,442.0,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,872,414,397.8087581473094,-90.944143540624,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,4,442.39999999990687,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1040,559,397.8087581473093,-84.91864861721614,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,5,462.69999999995343,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,910,384,397.8087581473094,-93.87202748497346,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,6,422.5,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,998,587,397.8087581473094,-83.41515902490947,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,7,381.80000000004657,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,944,372,397.8087581473094,-92.38322014315403,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,8,420.60000000009313,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,947,589,397.8087581473094,-87.40437907365471,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,9,353.19999999995343,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,981,379,397.8087581473094,-98.19069489420184,1
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,10,321.69999999995343,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,885,572,397.8087581473094,-82.0690850957439,1
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,11,722.1000000000931,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1040,389,397.8087581473095,-80.28355488807401,0
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,12,382.5,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,899,531,397.8087581473093,-117.77405727933456,1
P0,S3,C1,Dominant,Mouse,God,400,50,15,0,13,421.5999999998603,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1063,438,397.8087581473093,-89.9537624838575,0
