Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Mean Completion Time (ms),Error (%),SDx,We,IDe,Ae,Throughput (bps)
P1,S0,C2,Non-Dominant,Mouse,Intermediate,400,50,15,0,1125.5399999976155,6.666666666666667,11.167516132263394,46.15534417464461,3.134732617054048,359.2323300882719,2.7850921487114526
P1,S1,C1,Dominant,Mouse,Expert,400,50,15,0,896.5666666666667,0.0,4.786844413030751,19.784027959056093,4.252425024464955,357.2861655077799,4.74301040019142
P1,S1,C2,Non-Dominant,Mouse,Expert,400,50,15,0,1348.906666668256,0.0,3.5730572188253222,14.767445485405055,4.657661042834274,357.9683138233409,3.452915726436807
P1,S2,C1,Dominant,Mouse,Expert,400,50,15,0,889.6666666666666,0.0,8.50717824883753,35.16016770244551,3.481434577128493,357.54550385182284,3.913189858143679
P1,S2,C2,Non-Dominant,Mouse,Expert,400,50,15,0,1360.953333334128,0.0,5.774280975393599,23.865103271301745,4.011743978921592,361.0975426033093,2.947745437452606
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,848.6866666674614,0.0,8.617164008434202,35.61473884685856,3.450281787050439,353.6706248949951,4.065436541613955
P1,S3,C2,Non-Dominant,Mouse,Expert,400,50,15,0,1189.8799999992052,6.666666666666667,78.855952918368,325.91165341161496,1.0274921034158448,338.4519515043659,0.8635258206008432
P1,S4,C1,Dominant,Mouse,Expert,400,50,15,0,930.7400000015896,6.666666666666667,9.67972259660124,40.00629349175292,3.3195646550034894,359.4017901872186,3.566586431224424
P1,S4,C2,Non-Dominant,Mouse,Expert,400,50,15,0,1311.773333330949,0.0,3.5497605828014773,14.671160488718506,4.668190418323047,358.3468567461013,3.558686778964504
P1,S5,C1,Dominant,Mouse,Expert,400,50,15,0,881.1333333333333,0.0,7.370311263609339,30.4614964524974,3.657186354769778,353.841726964695,4.150548182003985
P1,S5,C2,Non-Dominant,Mouse,Expert,400,50,15,0,1314.4666666666667,0.0,7.021531340330075,29.0199890295842,3.73683643432932,357.8785587010687,2.8428537056823955
P2,S0,C1,Dominant,Touchpad,Expert,400,50,15,0,979.1333333333332,0.0,5.940898233077798,24.553732397310537,3.937485540447171,351.6462522354279,4.021398727221867
P2,S0,C2,Non-Dominant,Mouse,Expert,400,50,15,0,1348.9333333333334,0.0,6.5596112405413685,27.11087325715748,3.8309828930923904,358.7087124794723,2.840009063773147
P2,S0,C2,Non-Dominant,Touchpad,Expert,400,50,15,0,1223.9133333325383,0.0,7.357620036543978,30.409043611036264,3.662255480649538,354.58278600235747,2.9922506609824637
P2,S1,C1,Dominant,Touchpad,Expert,400,50,15,0,740.6266666650772,0.0,8.634437914963021,35.686131902542165,3.454620366890153,355.5543907919263,4.664455821508228
P2,S1,C2,Non-Dominant,Touchpad,Expert,400,50,15,0,1252.0866666674617,6.666666666666667,13.577543387140889,56.11598681905329,2.8529995514573474,349.32256984455483,2.278595905066904
P2,S2,C1,Dominant,Touchpad,Expert,400,50,15,0,783.4733333349228,0.0,9.705331739293332,40.11213607849934,3.306147335681773,356.6455128237592,4.219859432367491
P2,S2,C2,Non-Dominant,Touchpad,Expert,400,50,15,0,1382.4200000007947,0.0,6.423057579719406,26.546496976980304,3.8490936221942462,356.0137656906562,2.784315636486765
P2,S3,C1,Dominant,Touchpad,Expert,400,50,15,0,738.9399999976158,0.0,8.833211576162894,36.50766344428124,3.4126682590170136,352.26842813819985,4.618329308236155
P2,S3,C2,Non-Dominant,Touchpad,Expert,400,50,15,0,1237.639999997616,6.666666666666667,9.154552822059443,37.83576681357168,3.3749078017802856,354.6745001314926,2.726889727050505
P2,S4,C1,Dominant,Touchpad,Expert,400,50,15,0,730.2066666682562,0.0,6.650618816739584,27.4870075695847,3.797857829443464,354.8062055037314,5.20107252207393
P2,S4,C2,Non-Dominant,Touchpad,Expert,400,50,15,0,1258.946666665872,0.0,8.432565525708473,34.85179331775312,3.484419950021697,355.2159630508615,2.767726419459572
P2,S5,C1,Dominant,Touchpad,Expert,400,50,15,0,724.0333333333333,13.333333333333334,5.986884627439616,24.74379416520793,3.9309215883838022,352.64726149673675,5.429199744556608
